Date,Open,High,Low,Close
2011-02-16,112.93,113.64,112.88,113.45
2011-02-17,113.47,113.67,113.05,113.36
2011-02-18,113.36,113.93,112.94,113.9
2011-02-21,113.77,114.23,113.55,113.68
2011-02-22,113.67,113.91,112.2,113.02
2011-02-23,113.03,113.83,113.02,113.32
2011-02-24,113.32,113.53,112.18,113.06
2011-02-25,113.06,113.43,112.22,112.28
2011-02-28,112.28,113.34,111.96,112.91
2011-03-01,112.91,113.73,112.73,112.83
2011-03-02,112.83,113.58,112.52,113.42
2011-03-03,113.42,115.16,113.09,115.04
2011-03-04,115.04,115.97,114.87,115.15
2011-03-07,115.07,115.25,114.54,114.99
2011-03-08,114.98,115.22,114.55,114.94
2011-03-09,114.98,115.25,114.74,115.07
2011-03-10,115.09,115.25,114.2,114.41
2011-03-11,114.42,115.01,112.93,113.79
2011-03-14,113.73,114.81,113.24,114.35
2011-03-15,114.36,114.64,111.97,112.88
2011-03-16,112.92,113.48,106.58,109.19
2011-03-17,109.21,111.25,109.21,110.99
2011-03-18,111.02,115.54,110.81,114.3
2011-03-21,114.7,115.5,114.45,115.49
2011-03-22,115.49,115.54,114.83,115
2011-03-23,115,115.03,113.87,114.12
2011-03-24,114.12,114.96,113.54,114.85
2011-03-25,114.85,115.21,114.48,114.6
2011-03-28,114.3,115.3,114.19,115.09
2011-03-29,115.08,116.41,114.79,116.35
2011-03-30,116.34,117.26,116.21,117.14
2011-03-31,117.15,117.99,116.73,117.91
2011-04-01,117.89,119.8,117.82,119.65
2011-04-04,119.76,120.05,119.18,119.64
2011-04-05,119.63,121.2,119.32,121.1
2011-04-06,121,122.61,120.85,122.39
2011-04-07,122.4,122.53,120.75,121.62
2011-04-08,121.61,123.07,121.33,122.75
2011-04-11,122.74,123.32,122.01,122.17
2011-04-12,122.24,122.4,120.15,120.95
2011-04-13,120.99,122.15,120.77,121.18
2011-04-14,121.16,121.35,119.32,120.93
2011-04-15,120.92,121.46,119.68,119.94
2011-04-18,119.86,120.05,116.48,117.36
2011-04-19,117.48,118.44,117.07,118.32
2011-04-20,118.36,120.4,118.26,119.84
2011-04-21,119.89,120.26,118.65,119.16
2011-04-22,119.17,119.71,118.81,119.22
2011-04-25,119.15,120.03,119.06,119.28
2011-04-26,119.29,119.89,118.48,119.52
2011-04-27,119.52,121.57,119.43,121.51
2011-04-28,121.47,121.83,120.41,120.88
2011-04-29,120.9,121.15,120.06,120.24
2011-05-02,120.26,121.05,120.07,120.44
2011-05-03,120.45,120.6,119.21,120
2011-05-04,120.01,120.83,119.27,119.57
2011-05-05,119.57,119.77,116.13,116.8
2011-05-06,116.8,117.59,115.2,115.43
2011-05-09,115.87,116.46,115.01,115.24
2011-05-10,115.24,116.55,114.79,116.53
2011-05-11,116.53,116.89,114.56,115.23
2011-05-12,115.24,115.61,114.18,115.34
2011-05-13,115.35,115.54,113.5,113.96
2011-05-16,113.84,115.23,113.4,114.49
2011-05-17,114.5,116.22,114.27,115.91
