Date,Open,High,Low,Close
2005-10-03,17.327,17.366,17.241,17.267
2005-10-04,17.268,17.335,17.232,17.247
2005-10-05,17.258,17.335,17.205,17.335
2005-10-06,17.337,17.494,17.319,17.471
2005-10-07,17.468,17.514,17.421,17.458
2005-10-10,17.436,17.553,17.414,17.499
2005-10-11,17.497,17.571,17.431,17.533
2005-10-12,17.554,17.668,17.491,17.611
2005-10-13,17.612,17.647,17.502,17.575
2005-10-14,17.572,17.711,17.557,17.635
2005-10-17,17.64,17.749,17.624,17.708
2005-10-18,17.709,17.757,17.659,17.705
2005-10-19,17.702,17.779,17.597,17.743
2005-10-20,17.75,17.835,17.694,17.813
2005-10-21,17.815,17.871,17.722,17.773
2005-10-24,17.76,17.769,17.634,17.643
2005-10-25,17.65,17.832,17.624,17.823
2005-10-26,17.819,17.944,17.778,17.903
2005-10-27,17.901,17.983,17.867,17.976
2005-10-28,17.97,17.982,17.824,17.845
2005-10-31,17.859,17.94,17.82,17.932
2005-11-01,17.93,18.034,17.893,18.022
2005-11-02,18.024,18.118,17.993,18.103
2005-11-03,18.101,18.143,17.936,17.959
2005-11-04,17.965,18.067,17.92,17.949
2005-11-07,17.933,17.944,17.78,17.836
2005-11-08,17.845,17.845,17.683,17.76
2005-11-09,17.755,17.896,17.717,17.865
2005-11-10,17.863,17.965,17.853,17.885
2005-11-11,17.886,17.903,17.805,17.869
2005-11-14,17.864,17.936,17.826,17.855
2005-11-15,17.85,17.898,17.795,17.837
2005-11-16,17.838,17.913,17.789,17.824
2005-11-17,17.807,17.836,17.635,17.73
2005-11-18,17.731,17.818,17.668,17.784
2005-11-21,17.83,17.851,17.657,17.731
2005-11-22,17.734,17.866,17.719,17.822
2005-11-23,17.823,17.865,17.729,17.815
2005-11-24,17.813,17.845,17.748,17.777
2005-11-25,17.781,17.881,17.735,17.819
2005-11-28,17.82,17.871,17.781,17.844
2005-11-29,17.842,17.877,17.677,17.723
2005-11-30,17.741,17.806,17.64,17.769
2005-12-01,17.767,17.849,17.656,17.833
2005-12-02,17.836,17.912,17.773,17.827
2005-12-05,17.899,18.137,17.887,18.12
2005-12-06,18.129,18.14,17.849,17.864
2005-12-07,17.862,17.927,17.788,17.906
2005-12-08,17.905,17.976,17.82,17.911
2005-12-09,17.928,18,17.867,17.967
2005-12-12,17.964,18.084,17.944,18.016
2005-12-13,18.019,18.063,17.947,18.045
2005-12-14,18.044,18.083,17.648,17.726
2005-12-15,17.704,17.747,17.454,17.533
2005-12-16,17.542,17.63,17.379,17.411
2005-12-19,17.421,17.561,17.363,17.419
2005-12-20,17.423,17.478,17.204,17.263
2005-12-21,17.265,17.312,17.221,17.299
2005-12-22,17.294,17.352,17.17,17.218
2005-12-23,17.216,17.252,17.109,17.22
2005-12-27,17.201,17.367,17.18,17.319
2005-12-28,17.311,17.427,17.302,17.33
2005-12-29,17.332,17.428,17.32,17.373
2005-12-30,17.374,17.503,17.32,17.472
2006-01-02,17.454,17.539,17.412,17.469
2006-01-03,17.471,17.616,17.417,17.523
2006-01-04,17.521,17.779,17.491,17.753
2006-01-05,17.751,17.786,17.639,17.712
2006-01-06,17.716,17.738,17.514,17.574
2006-01-09,17.56,17.573,17.344,17.404
2006-01-10,17.406,17.415,17.231,17.258
2006-01-11,17.254,17.295,17.173,17.25
2006-01-12,17.245,17.269,16.999,17.11
2006-01-13,17.116,17.245,17.088,17.212
2006-01-16,17.225,17.325,17.194,17.281
